To, że milczę, nie znaczy, że nie mam nic do powiedzenia. || Autor 1
Lepiej zaliczać się do niektórych, niż do wszystkich. || Autor 2
Czytanie książek to najpiękniejsza zabawa, jaką sobie ludzkość wymyśliła || Autor 3
Książki są lustrem: widzisz w nich tylko to co, już masz w sobie. || Autor 4
Dobrze widzi się tylko sercem. Najważniejsze jest niewidoczne dla oczu. || Autor 5
– To wódka? – słabym głosem zapytała Małgorzata.(...)  – Na litość boską, królowo – zachrypiał – czy ośmieliłbym się nalać damie wódki? To czysty spirytus. || Autor 6
W chwili, kiedy zastanawiasz się czy kogoś kochasz, przestałeś go już kochać na zawsze. || Autor 7
- A jeśli pewnego dnia będę musiał odejść? - spytał Krzyś, ściskając Misiową łapkę. - Co wtedy? || Autor 8
- Nic wielkiego. - zapewnił go Puchatek. - Posiedzę tu sobie i na Ciebie poczekam. Kiedy się kogoś kocha, to ten drugi ktoś nigdy nie znika. || Autor 9
Żaden dzień się nie powtórzy, nie ma dwóch podobnych nocy, dwóch tych samych pocałunków, dwóch jednakich spojrzeń w oczy. || Autor 10
Kocha się za nic. Nie istnieje żaden powód do miłości. || Autor 11
Pluń na wszystko, co minęło: na własną boleść i na cudzą nikczemność... Wybierz sobie jakiś cel, jakikolwiek i zacznij nowe życie. || Autor 12
